"journal","year","country","IF","percent_fem","lowerCI","upperCI"
"Science",2011,"USA",34.661,26.6429313158285,25.5904445038641,27.7156573002161
"Blood",2012,"USA",11.841,38.1313749490004,37.2702589820804,38.9981315751885
"Cell",2012,"USA",28.71,31.1941083640189,29.7232527344194,32.6939230309546
"Nature",2012,"USA",38.138,29.0253646752764,28.1690100304798,29.8930793652872
"Science",2012,"USA",34.661,25.5976243504083,24.5586912362147,26.6577238549267
"Blood",2013,"USA",11.841,38.4257570229843,37.513882328664,39.3437822236063
"Cell",2013,"USA",28.71,30.2975885069266,28.8573397612921,31.7674284118286
"Nature",2013,"USA",38.138,29.4035163412793,28.4772921716367,30.3426974432977
"Science",2013,"USA",34.661,27.6213890596189,26.6517755893496,28.6070568464646
"Blood",2014,"USA",11.841,39.8649309973573,38.9136462067025,40.821996343263
"Cell",2014,"USA",28.71,30.8577405857741,29.5498500008247,32.1890502264416
"Nature",2014,"USA",38.138,33.0021841752977,32.228616981633,33.7827250166043
"Science",2014,"USA",34.661,30.4258538694336,29.489221835655,31.3748241627791
"Blood",2015,"USA",11.841,38.1801912644707,37.4672748336981,38.896953710889
"Cell",2015,"USA",28.71,29.9796676715978,29.2283934044838,30.7391164806269
"Nature",2015,"USA",38.138,35.691622599499,35.2870001289276,36.0977864980993
"Science",2015,"USA",34.661,30.0840901446351,29.3474195530948,30.8285623255046
"Blood",2016,"USA",11.841,37.3872832369942,36.5538292728539,38.2263980424815
"Cell",2016,"USA",28.71,33.0067044868489,32.0707342149921,33.95289343789
"Nature",2016,"USA",38.138,31.6644780039396,31.0805940766398,32.2527375428804
"Science",2016,"USA",34.661,29.4824074724349,28.7342240510941,30.2389828838092
"Blood",2002,"Australia",11.841,34.5855369050356,33.5485528586852,35.634533035851
"Cell",2002,"Australia",28.71,27.7072243346008,25.2237726298043,30.3019823693212
"Nature",2002,"Australia",38.138,25.6373762376238,24.4666465417522,26.8358781885538
"Science",2002,"Australia",34.661,26.4432176656151,25.2649960852326,27.6481383472357
"Blood",2003,"Australia",11.841,37.0798943545725,36.0473707744142,38.1223120829835
"Cell",2003,"Australia",28.71,30.0397350993378,27.6571093948148,32.5100252807381
"Nature",2003,"Australia",38.138,26.3003066308931,25.0707510242062,27.5592318939734
"Science",2003,"Australia",34.661,26.0113636363636,24.8412663946382,27.2085372376369
"Blood",2004,"Australia",11.841,36.8078426726691,35.7384109367843,37.8881166783063
"Cell",2004,"Australia",28.71,30.2871729419272,27.9418258841616,32.7160356724111
"Nature",2004,"Australia",38.138,26.5689381933439,25.3860028781256,27.7785702995909
"Science",2004,"Australia",34.661,26.365475980996,25.1860795150623,27.571760374259
"Blood",2005,"Australia",11.841,36.8556213017751,35.7864245339558,37.9356157482339
"Cell",2005,"Australia",28.71,30.3898405197874,28.1305562309369,32.7260183346545
"Nature",2005,"Australia",38.138,27.1897754854369,26.0828493725654,28.3191330433372
"Science",2005,"Australia",34.661,28.4628643058602,27.3207257661327,29.6270071472766
"Blood",2006,"Australia",11.841,39.1812239377888,38.1231845381421,40.2480152706499
"Cell",2006,"Australia",28.71,32.9126908396947,30.8309580611287,35.0493375804096
"Nature",2006,"Australia",38.138,29.6271186440678,28.4528966923138,30.822911504372
"Science",2006,"Australia",34.661,25.415963161934,24.3281318922853,26.5280880958132
"Blood",2007,"Australia",11.841,39.2390963288359,38.2195577312311,40.26671969098
"Cell",2007,"Australia",28.71,31.7083692838654,29.7505293309338,33.7188884646547
"Nature",2007,"Australia",38.138,29.7284683920238,28.6280359650493,30.8477047070893
"Science",2007,"Australia",34.661,25.6223175965665,24.5321424857584,26.7365672321735
"Blood",2008,"Australia",11.841,38.4076931095591,37.3945991694653,39.4293502065729
"Cell",2008,"Australia",28.71,31.8181818181818,29.8822809983225,33.805195181139
"Nature",2008,"Australia",38.138,28.6605942959534,27.5430528769025,29.7989276991761
"Science",2008,"Australia",34.661,26.4194669756663,25.2746057528164,27.5895629378845
"Blood",2009,"Australia",11.841,38.668890236507,37.7440194181386,39.6007414426775
"Cell",2009,"Australia",28.71,32.388495206336,30.4515580815942,34.3746521370645
"Nature",2009,"Australia",38.138,29.6976275391534,28.5458439049141,30.870064807314
"Science",2009,"Australia",34.661,28.7921653971708,27.7238572390665,29.8793009089237
"Blood",2010,"Australia",11.841,40.4552278346874,39.5126230998898,41.4040289876911
"Cell",2010,"Australia",28.71,31.7605356439543,29.8886573692095,33.6803576430009
"Nature",2010,"Australia",38.138,30.7646276595745,29.7799472506059,31.7633572244504
"Science",2010,"Australia",34.661,27.1256005490734,26.0733057605346,28.1982356918321
"Blood",2011,"Australia",11.841,40.9232277949005,40.081979210627,41.7691972485492
"Cell",2011,"Australia",28.71,33.024861878453,31.1292842477089,34.9655429784321
"Nature",2011,"Australia",38.138,31.0454878943507,30.1471312988421,31.9553132376488
"Science",2011,"Australia",34.661,27.9750778816199,26.8699667290573,29.1014401652269
"Blood",2012,"Australia",11.841,40.0379436964504,39.1337719311844,40.9480381539479
"Cell",2012,"Australia",28.71,32.7538137822199,31.2094153711404,34.3286191825023
"Nature",2012,"Australia",38.138,30.4766329090402,29.5774605320038,31.3877333335516
"Science",2012,"Australia",34.661,26.8775055679287,25.7866257980254,27.990610047673
"Blood",2013,"Australia",11.841,40.3470448741335,39.3895764450972,41.3109713347866
"Cell",2013,"Australia",28.71,31.812467932273,30.3002067493567,33.35579983242
"Nature",2013,"Australia",38.138,30.8736921583432,29.9011567802185,31.8598323154626
"Science",2013,"Australia",34.661,29.0024585125999,27.9843643688171,30.0374096887878
"Blood",2014,"Australia",11.841,41.8581775472252,40.8593285170376,42.8630961604262
"Cell",2014,"Australia",28.71,32.4006276150628,31.0273425008659,33.7985027377637
"Nature",2014,"Australia",38.138,34.6522933840626,33.8400478307147,35.4718612674345
"Science",2014,"Australia",34.661,31.9471465629053,30.9636829274377,32.9435653709181
"Blood",2015,"Australia",11.841,40.0892008276942,39.340638575383,40.8418013964335
"Cell",2015,"Australia",28.71,31.4786510551777,30.689813074708,32.2760723046582
"Nature",2015,"Australia",38.138,37.476203729474,37.051350135374,37.9026758230043
"Science",2015,"Australia",34.661,31.5882946518668,30.8147905307495,32.3699904417798
"Blood",2016,"Australia",11.841,39.2566473988439,38.3815207364966,40.1377179446056
"Cell",2016,"Australia",28.71,34.6570397111913,33.6742709257417,35.6505381097845
"Nature",2016,"Australia",38.138,33.2477019041366,32.6346237804718,33.8653744200244
"Science",2016,"Australia",34.661,30.9565278460566,30.1709352536488,31.7509320279997
"Blood",2002,"UK",11.841,31.2916762474132,30.3534525864294,32.2407679848176
"Cell",2002,"UK",28.71,25.0684410646388,22.8215085698229,27.4160792865287
"Nature",2002,"UK",38.138,23.1957213578501,22.136489728252,24.2800802658344
"Science",2002,"UK",34.661,23.9248159831756,22.8588059818772,25.0149823141657
"Blood",2003,"UK",11.841,33.5484758446132,32.6142878435176,34.4916156941279
"Cell",2003,"UK",28.71,27.1788079470199,25.023098976261,29.4138323968583
"Nature",2003,"UK",38.138,23.795515523189,22.6830604504722,24.9345431421664
"Science",2003,"UK",34.661,23.5340909090909,22.4754314999108,24.6172479769095
"Blood",2004,"UK",11.841,33.3023338467006,32.3347527523287,34.2797246137057
"Cell",2004,"UK",28.71,27.4026802807913,25.2806996094796,29.6002227512291
"Nature",2004,"UK",38.138,24.0385631273111,22.9682883183042,25.1329921758203
"Science",2004,"UK",34.661,23.8544782685201,22.7874052755325,24.9458784338534
"Blood",2005,"UK",11.841,33.3455621301775,32.37819362596,34.3226999626879
"Cell",2005,"UK",28.71,27.4955699940933,25.4514556375143,29.6092546837351
"Nature",2005,"UK",38.138,24.6002730582524,23.5987684799402,25.6220727534956
"Science",2005,"UK",34.661,25.7521153243497,24.7187518836439,26.8053874189646
"Blood",2006,"UK",11.841,35.4496788008565,34.4924050583191,36.4148709591595
"Cell",2006,"UK",28.71,29.7781488549618,27.8946763410212,31.7113054298944
"Nature",2006,"UK",38.138,26.8054882970137,25.7430970073316,27.8873961230032
"Science",2006,"UK",34.661,22.9953952417498,22.0111669501629,24.0016035152596
"Blood",2007,"UK",11.841,35.5020395356134,34.5795998520663,36.4317940061248
"Cell",2007,"UK",28.71,28.6885245901639,26.9171455851306,30.5075657537352
"Nature",2007,"UK",38.138,26.8971856880215,25.9015563493303,27.9098280683189
"Science",2007,"UK",34.661,23.182096873084,22.1957479633052,24.1902274957761
"Blood",2008,"UK",11.841,34.7498175753153,33.8332087723733,35.6741739964231
"Cell",2008,"UK",28.71,28.7878787878788,27.0363494746727,30.5856527829352
"Nature",2008,"UK",38.138,25.931013886815,24.9199049838641,26.9609345849689
"Science",2008,"UK",34.661,23.9033272636981,22.8675004430244,24.9619855152289
"Blood",2009,"UK",11.841,34.9861387854111,34.1493509021254,35.8292422576605
"Cell",2009,"UK",28.71,29.3038766152564,27.551409692871,31.1008757430583
"Nature",2009,"UK",38.138,26.869282059234,25.8271921044461,27.9300586351888
"Science",2009,"UK",34.661,26.0500544069641,25.0834898829649,27.0336532033119
"Blood",2010,"UK",11.841,36.6023489932886,35.7495161379956,37.4607881317205
"Cell",2010,"UK",28.71,28.7357227254825,27.0421185721419,30.4727045341437
"Nature",2010,"UK",38.138,27.8346631205674,26.9437617981673,28.7382755840266
"Science",2010,"UK",34.661,24.5422100205903,23.5901337833408,25.5126894354671
"Blood",2011,"UK",11.841,37.0257775287195,36.264647857234,37.791178462973
"Cell",2011,"UK",28.71,29.879636937648,28.1645905098319,31.6354912662005
"Nature",2011,"UK",38.138,28.0887747615554,27.2759759370477,28.9119500721584
"Science",2011,"UK",34.661,25.3107847500371,24.3109222786709,26.3298744352053
"Blood",2012,"UK",11.841,36.2248062015504,35.4067460329764,37.0482249964291
"Cell",2012,"UK",28.71,29.634402945818,28.2370900976984,31.0592268794069
"Nature",2012,"UK",38.138,27.5740964415126,26.7605595289558,28.3984253970228
"Science",2012,"UK",34.661,24.3177431328879,23.330756674404,25.3248376621804
"Blood",2013,"UK",11.841,36.5044691718351,35.6381882122308,37.376593112426
"Cell",2013,"UK",28.71,28.7827090815803,27.4144727732275,30.1790569912372
"Nature",2013,"UK",38.138,27.9333405242153,27.0534275630549,28.8255625711328
"Science",2013,"UK",34.661,26.240319606638,25.3191868098821,27.1767040041414
"Blood",2014,"UK",11.841,37.8716844474895,36.9679638963674,38.7808965260999
"Cell",2014,"UK",28.71,29.3148535564854,28.0723575007835,30.5795977151195
"Nature",2014,"UK",38.138,31.3520749665328,30.6171861325513,32.0935887657741
"Science",2014,"UK",34.661,28.904561175962,28.0147607438722,29.8060829546401
"Blood",2015,"UK",11.841,36.2711817012471,35.5939110920132,36.9521060253445
"Cell",2015,"UK",28.71,28.4806842880179,27.7669737342596,29.2021606565956
"Nature",2015,"UK",38.138,33.9070414695241,33.5226501224812,34.2928971731943
"Science",2015,"UK",34.661,28.5798856374033,27.8800485754401,29.2871342092294
"Blood",2016,"UK",11.841,35.5179190751445,34.7261378092112,36.3150781403574
"Cell",2016,"UK",28.71,31.3563692625064,30.4671975042425,32.2552487659955
"Nature",2016,"UK",38.138,30.0812541037426,29.5265643728078,30.6401006657364
"Science",2016,"UK",34.661,28.0082870988131,27.2975128485394,28.7270337396187
